개방서비스명,인허가년도,인허가일자,영업상태명,폐업년도,폐업일자,위치,도로명전체주소,사업장명
수영장업,2003,20030422,폐업,2020,20200729,경기,경기도 파주시 광탄면 보광로 877,파주힐링캠프
수영장업,2001,20010720,폐업,2020,20200520,충청,충청남도 태안군 안면읍 꽃지해안로 204,아일랜드 리솜 수영장
수영장업,2018,20180710,폐업,2020,20200103,충청,"충청남도 아산시 삼동로28번길 46, 5층 (모종동)",온양온천랜드
수영장업,2006,20060601,폐업,2020,20201221,광주,광주광역시 광산구 목련로 211 (운남동),금호타이어복지관수영장
수영장업,2009,20090424,폐업,2020,20200723,경기,경기도 동두천시 장고갯로 161-35 (생연동),소요산 탑 온천랜드 & 스포츠랜드
수영장업,2008,20080703,폐업,2020,20200827,경기,"경기도 동두천시 광암로17번길 10 (광암동,지하2층)",광암천수영장
수영장업,2003,20030430,폐업,2020,20200813,경기,"경기도 동두천시 광암로17번길 10 (광암동,T.S 레져피아 지하2층)",T.S 레져피아수영장
수영장업,1997,19970730,폐업,2020,20200827,경기,경기도 동두천시 삼육사로 1662-12 (탑동동),왕방산수영장
수영장업,1996,19961207,폐업,2020,20200721,강원,강원도 횡성군 둔내면 고원로 451,웰리힐리수영장
수영장업,2020,20200609,폐업,2020,20201116,경기,"경기도 고양시 일산동구 중산로 60, 지하층 B202호 (중산동, 일산2차아이파크)",킨더벨트 키즈스포짐
수영장업,2009,20090129,폐업,2020,20200515,인천,"인천광역시 중구 용유서로 379 (을왕동, 골든스카이리조트)",골든웨이브
수영장업,2014,20141208,폐업,2020,20200323,서울,서울특별시 양천구 목동서로 293 (신정동),이노스베이 어린이 수상안전교육센타
수영장업,2003,20030527,폐업,2020,20200922,경기,"경기도 광명시 하안로288번길 15 (하안동, 조일프라자(지하4층))",예체능수영장
수영장업,1998,19980210,폐업,2020,20200921,인천,"인천광역시 연수구 새말로 27, 동남아파트 (연수동)",동남스포피아 수영장
수영장업,2005,20050610,폐업,2020,20200422,인천,인천광역시 강화군 강화읍 충렬사로 138,명진스포츠 문화센터
수영장업,2019,20190926,폐업,2020,20200228,서울,"서울특별시 강남구 개포로22길 87, 포이초등학교 (개포동)",포이 교육문화 체육센터
수영장업,2001,20010901,폐업,2020,20200803,경기,"경기도 고양시 일산동구 약산길 2, 부성빌딩 지하층 (중산동)",늘푸른 수영장
수영장업,2001,20010817,폐업,2020,20200221,전라,전라남도 해남군 계곡면 사촌길 2,해남흑석산수영장
수영장업,2018,20180702,폐업,2020,20200909,전라,전라남도 여수시 오동도로 61-13 (수정동),베네치아호텔앤리조트
수영장업,2009,20090313,폐업,2020,20200916,제주,제주특별자치도 서귀포시 태평로 474 (서귀동),서귀포중학교 실내수영장
수영장업,2017,20170113,폐업,2020,20200630,제주,제주특별자치도 서귀포시 색달중앙로252번길 124 (색달동),(주)호텔롯데 롯데리조트제주
수영장업,2014,20140710,폐업,2020,20201229,전라,전라북도 군산시 새만금북로 435 (오식도동),(주)비지에이치코리아 군산호텔(베스트웨스턴 군산호텔)
수영장업,2006,20060919,폐업,2020,20200921,경기,"경기도 안양시 만안구 예술공원로 153-32, 지하2, 3층 (석수동)",안양워터랜드
수영장업,2006,20060707,폐업,2020,20201101,경기,경기도 안양시 만안구 안양로329번길 108 (안양동),롯데프라자스포츠쎈터
수영장업,2015,20150827,폐업,2020,20200707,경기,"경기도 의정부시 신흥로207번길 27, 지층 (의정부동, 믿음신협협동조합)",우리동네 스포츠센터
