개방서비스명,영업상태명,폐업년도,폐업일자,위치,도로명전체주소,사업장명
수영장업,폐업,2017,20170420,서울,"서울특별시 강남구 영동대로 325 (대치동,대치3동 해암빌딩 지하2층)",삼원휴스포(20)[6레인]
수영장업,폐업,2018,20180228,서울,"서울특별시 강서구 마곡서로 133, 704동 지하2층 101호 (마곡동, 마곡엠밸리7단지)",M밸리레포츠
수영장업,폐업,2016,20160129,서울,"서울특별시 노원구 한글비석로 383 (중계동,(지층))",삼창타워스포츠
수영장업,폐업,2016,20160720,서울,서울특별시 노원구 화랑로 653 (공릉동),이스턴캐슬수영장
수영장업,폐업,2020,20200729,경기,경기도 파주시 광탄면 보광로 877,파주힐링캠프
수영장업,폐업,2017,20170103,경기,경기도 파주시 동서대로 700 (야당동),빅토리수영장
수영장업,폐업,2017,20171019,경기,"경기도 용인시 수지구 현암로 73 (죽전동,지하1층)",K&D스포츠클럽
수영장업,폐업,2016,20160202,경기,경기도 용인시 수지구 문정로7번길 15 (풍덕천동),용인시 여성회관 YMCA 스포츠센터
수영장업,폐업,2018,20180209,경기,경기도 여주시 세종로 317 (교동),여주황학산유스호스텔 수영장
수영장업,폐업,2018,20180918,경기,경기도 평택시 평남로 616 (합정동),평택시수영장
수영장업,폐업,2016,20160607,경기,경기도 평택시 평택3로 5  (합정동),새샘스포렉스
수영장업,폐업,2018,20180919,경기,경기도 평택시 안중읍 서동대로 1531,서평택국민체육센터
수영장업,폐업,2018,20180921,경기,경기도 평택시 장안웃길 149 (이충동),이충문화체육센터 수영장
수영장업,폐업,2016,20160316,경기,경기도 평택시 팽성읍 팽성송화로 63,제일스포츠센터
수영장업,폐업,2019,20191119,경기,경기도 양평군 개군면 신내길7번길 55,(주)대명호텔앤리조트 양평지점 실외수영장
수영장업,폐업,2016,20160418,경기,경기도 양평군 용문면 용문로164번길 42 (외2필지),SN 수련원
수영장업,폐업,2016,20160603,경기,경기도 양평군 용문면 상광길 23-6,광탄레져파크
수영장업,폐업,2019,20190820,경기,경기도 이천시 모가면 사실로 984 (테르메덴),이천테르메덴(실외)
수영장업,폐업,2019,20191231,충청,"충청북도 충주시 삼원로 128, 삼원초등학교 (봉방동)",충주수영장
수영장업,폐업,2018,20180125,충청,충청북도 충주시 국원대로 35 (봉방동),충주수영장
수영장업,폐업,2019,20190531,세종,"세종특별자치시 금남면 용포2길 7, 1층",주식회사 마린스위밍풀
수영장업,폐업,2019,20190828,충청,충청남도 서산시 안견로 661 (갈산동),서산국민체육센터
수영장업,폐업,2020,20200520,충청,충청남도 태안군 안면읍 꽃지해안로 204,아일랜드 리솜 수영장
수영장업,폐업,2018,20180405,충청,충청남도 예산군 덕산면 온천단지3로 84,덕산싸이판수영장
수영장업,폐업,2019,20191011,충청,충청남도 금산군 추부면 성당로 247,서대산드림리조트
수영장업,폐업,2020,20200103,충청,"충청남도 아산시 삼동로28번길 46, 5층 (모종동)",온양온천랜드
수영장업,폐업,2019,20190909,충청,충청남도 아산시 음봉면 아산온천로157번길 67,금호리조트(주)아산스파비스(실내수영장)
수영장업,폐업,2019,20191231,강원,강원도 동해시 일출로 151 (묵호진동),삼양비치실내수영장
수영장업,폐업,2019,20190910,경상,"경상남도 김해시 진영읍 본산1로 29, C동 1층",거산수영장
수영장업,폐업,2019,20190810,부산,"부산광역시 북구 강변대로 1629 (덕천동, 화명수상레포츠타운)",시스타
수영장업,폐업,2017,20170614,부산,부산광역시 북구 덕천로 0 (덕천동),아이스 온 아트
수영장업,폐업,2019,20190329,서울,"서울특별시 마포구 독막로 288, 지하1층 B04호 (대흥동, 세양아파트)",아이월드
수영장업,폐업,2016,20161123,서울,"서울특별시 광진구 아차산로78길 44, 지하2층 6호 (광장동, 크레스코빌딩)",포슬렌챌린지키즈수영장
수영장업,폐업,2016,20160615,서울,서울특별시 동대문구 망우로 123  (휘경동),우창실내수영장
수영장업,폐업,2018,20181204,서울,서울특별시 노원구 한글비석로 232 (중계동),더 코치스
수영장업,폐업,2018,20180824,서울,"서울특별시 도봉구 노해로69길 132, 창동운동장 및 문화체육센터 (창동)",에스티산업주식회사
수영장업,폐업,2016,20161107,서울,"서울특별시 도봉구 덕릉로63가길 61, 3층 (창동, 창동대우아파트 상가)",대우스포츠센터
수영장업,폐업,2018,20180727,서울,"서울특별시 도봉구 도당로 10 (쌍문동,4필지)",명성스포츠(수영장)
수영장업,폐업,2019,20190521,충청,충청북도 진천군 문백면 봉죽2길 20-78,샘터 수영장
수영장업,폐업,2018,20181130,울산,울산광역시 동구 방어진순환도로 875 (전하동),호텔현대수영장
수영장업,폐업,2016,20160627,울산,울산광역시 동구 방어진순환도로 100 (방어동),한우리수영장
수영장업,폐업,2020,20201221,광주,광주광역시 광산구 목련로 211 (운남동),금호타이어복지관수영장
수영장업,폐업,2018,20181218,경기,"경기도 수원시 권선구 매송고색로 755, 중앙스포츠랜드 (고색동)",중앙스포츠랜드
수영장업,폐업,2019,20190125,경기,경기도 수원시 팔달구 인계로 154  (인계동),휘트니스센타PG
수영장업,폐업,2018,20180913,충청,"충청북도 청주시 흥덕구 가로수로 969, 1층 (휴암동, 청주시 푸르미스포츠센터)",푸르미 스포츠센터
수영장업,폐업,2016,20161219,경기,"경기도 과천시 광명로 181 (막계동, 서울랜드)",서울랜드 야외수영장
수영장업,폐업,2018,20180129,강원,강원도 정선군 사북읍 하이원길 265 (마운틴콘도 야외수영장),마운틴콘도 조립식 수영장
수영장업,폐업,2018,20181220,강원,강원도 고성군 토성면 미시령옛길 1153,(주)대명호텔앤리조트 설악지점 아쿠아월드 실외수영장
수영장업,폐업,2018,20180103,대구,대구광역시 달서구 와룡로 143 (감삼동),드림시티스포츠센터
수영장업,폐업,2019,20190214,경기,경기도 수원시 팔달구 효원로 288 (인계동),트레보휘트니스
수영장업,폐업,2017,20171019,경기,경기도 화성시 반월북길 49 (반월동),아이월드
수영장업,폐업,2016,20160315,경기,경기도 화성시 화산중앙로 18  (안녕동),화성스포츠센터수영장
수영장업,폐업,2019,20190211,경기,경기도 안성시 공도읍 기업단지로 64-3,헤움 어린이 수영장
수영장업,폐업,2020,20200723,경기,경기도 동두천시 장고갯로 161-35 (생연동),소요산 탑 온천랜드 & 스포츠랜드
수영장업,폐업,2020,20200827,경기,"경기도 동두천시 광암로17번길 10 (광암동,지하2층)",광암천수영장
수영장업,폐업,2020,20200813,경기,"경기도 동두천시 광암로17번길 10 (광암동,T.S 레져피아 지하2층)",T.S 레져피아수영장
수영장업,폐업,2020,20200827,경기,경기도 동두천시 삼육사로 1662-12 (탑동동),왕방산수영장
수영장업,폐업,2016,20161104,경기,"경기도 군포시 번영로 504, 지하층 (산본동, 산본쇼핑센터 )",산본스파랜드
수영장업,폐업,2020,20200721,강원,강원도 횡성군 둔내면 고원로 451,웰리힐리수영장
수영장업,폐업,2016,20161231,강원,강원도 강릉시 성덕포남로188번길 2 (포남동),강남스포츠센터
수영장업,폐업,2019,20191101,부산,"부산광역시 해운대구 세실로 137 (좌동, 지하1층)",해운대 생활체육센타
